n,coordinates,trials,empirical_at_least_one_all_zero,empirical_exactly_one_all_zero,empirical_at_least_one_all_one,theory_at_least_one,theory_exactly_one,abs_error_zero_any,abs_error_zero_exact,abs_error_one_any
6,64,4096,0.6181640625,0.35791015625,0.62939453125,0.6350134757560926,0.37077996113666783,0.01684941325609257,0.012869804886667835,0.005618944506092571
8,256,4096,0.63916015625,0.377685546875,0.63916015625,0.6328402451084638,0.3685995970675815,0.006319911141536183,0.009085949807418503,0.006319911141536183
10,1024,4096,0.620849609375,0.353759765625,0.635986328125,0.6323002605887288,0.3680591721966195,0.01145065121372879,0.014299406571619488,0.003686067536271209
12,4096,4096,0.63671875,0.3759765625,0.625244140625,0.6321654705556539,0.36792435472626167,0.004553279444346137,0.008052207773738329,0.006921329930653863
