regime,dataset_seed,T,tau,dimension,bad_coordinate,eta,radius_r,empirical_risk,population_lower_certificate,lower_scale_eta2_r2_T,certificate_to_lower_scale,suffix_norm
fixed_r,0,16,1,1025,21,0.041666666666666664,0.5,0.0,0.0004078825504720579,0.006944444444444444,0.05873508726797634,0.04039380765585939
fixed_r,0,16,2,1025,21,0.041666666666666664,0.5,0.0,0.00046407970187043026,0.006944444444444444,0.06682747706934196,0.04308672816625002
fixed_r,0,16,3,1025,21,0.041666666666666664,0.5,0.0,0.0005327445215516143,0.006944444444444444,0.07671521110343246,0.0461643501250494
fixed_r,0,16,4,1025,21,0.041666666666666664,0.5,0.0,0.0006012009972305805,0.006944444444444444,0.0865729436012036,0.04904080083769308
fixed_r,0,16,5,1025,21,0.041666666666666664,0.5,0.0,0.0006697616903673493,0.006944444444444444,0.0964456834128983,0.05176140376138724
fixed_r,0,16,6,1025,21,0.041666666666666664,0.5,0.0,0.0007382106406603523,0.006944444444444444,0.10630233225509074,0.05434186894578954
fixed_r,0,16,7,1025,21,0.041666666666666664,0.5,0.0,0.0008066902255490754,0.006944444444444444,0.11616339247906686,0.056806311797865015
fixed_r,0,16,8,1025,21,0.041666666666666664,0.5,0.0,0.000875210901031131,0.006944444444444444,0.12603036974848286,0.059169584771269775
fixed_r,0,16,9,1025,21,0.041666666666666664,0.5,0.0,0.0009437880764229095,0.006944444444444444,0.135905483004899,0.0614438643281133
fixed_r,0,16,10,1025,21,0.041666666666666664,0.5,0.0,0.0010124459659719266,0.006944444444444444,0.14579221909995743,0.06363945334277835
fixed_r,0,16,11,1025,21,0.041666666666666664,0.5,0.0,0.0010812249267568026,0.006944444444444444,0.1556963894529796,0.06576546103318341
fixed_r,0,16,12,1025,21,0.041666666666666664,0.5,0.0,0.0011501976015190526,0.006944444444444444,0.1656284546187436,0.06783057248730963
fixed_r,0,16,13,1025,21,0.041666666666666664,0.5,0.0,0.0012195092757417067,0.006944444444444444,0.17560933570680579,0.06984435024285632
fixed_r,0,16,14,1025,21,0.041666666666666664,0.5,0.0,0.0012894989488851695,0.006944444444444444,0.18568784863946441,0.07182055383677179
fixed_r,0,16,15,1025,21,0.041666666666666664,0.5,0.0,0.0013611836193306542,0.006944444444444444,0.19601044118361421,0.07378977324265588
fixed_r,0,16,16,1025,21,0.041666666666666664,0.5,0.0,0.0014396482789842263,0.006944444444444444,0.2073093521737286,0.07588668706576181
fixed_r,1,16,1,1025,15,0.041666666666666664,0.5,0.0,0.00040788254102954986,0.006944444444444444,0.058735085908255186,0.040393807195501036
fixed_r,1,16,2,1025,15,0.041666666666666664,0.5,0.0,0.0004640796911269544,0.006944444444444444,0.06682747552228144,0.04308672767520111
fixed_r,1,16,3,1025,15,0.041666666666666664,0.5,0.0,0.0005327445106572575,0.006944444444444444,0.07671520953464508,0.04616434966131187
fixed_r,1,16,4,1025,15,0.041666666666666664,0.5,0.0,0.0006012009861996971,0.006944444444444444,0.08657294201275638,0.04904080039688916
fixed_r,1,16,5,1025,15,0.041666666666666664,0.5,0.0,0.0006697616801432937,0.006944444444444444,0.0964456819406343,0.05176140337492707
fixed_r,1,16,6,1025,15,0.041666666666666664,0.5,0.0,0.0007382106304373905,0.006944444444444444,0.10630233078298425,0.05434186857772098
fixed_r,1,16,7,1025,15,0.041666666666666664,0.5,0.0,0.0008066902153261153,0.006944444444444444,0.11616339100696062,0.05680631144576452
fixed_r,1,16,8,1025,15,0.041666666666666664,0.5,0.0,0.0008752108908081707,0.006944444444444444,0.1260303682763766,0.05916958443323241
fixed_r,1,16,9,1025,15,0.041666666666666664,0.5,0.0,0.0009437880661999493,0.006944444444444444,0.1359054815327927,0.061443864002588035
