T,eta,rho,radius_r,lower_condition_eta_gap,lower_condition_limit,rho_threshold,all_theorem_conditions,max_iterate_norm,saer_exact,saer_times_T,optimization_upper,saer_to_upper_ratio,min_suffix_population_risk,max_suffix_population_risk,min_population_to_lower_scale,lower_scale_eta2_gap2_T
64,0.25,0.1,0.6,0.125,0.125,0.24,True,0.9921567416492215,0.125,8.0,1.0,0.125,0.05536138142732779,0.19898591291753895,0.05536138142732779,1.0
128,0.25,0.1,0.4535533905932737,0.08838834764831843,0.08838834764831843,0.2201010126776669,True,0.9960860906568265,0.062499999999999986,7.999999999999998,0.4999999999999999,0.125,0.05616100147702596,0.20074257046715863,0.056161001477025976,0.9999999999999998
256,0.25,0.1,0.35,0.06249999999999999,0.0625,0.19999999999999998,True,0.9980449639169569,0.031249999999999993,7.999999999999998,0.24999999999999994,0.125,0.056562761005620306,0.20162118930415215,0.05656276100562032,0.9999999999999998
512,0.25,0.1,0.27677669529663684,0.04419417382415921,0.044194173824159216,0.1808607815062898,True,0.999022960196611,0.015624999999999993,7.9999999999999964,0.12499999999999994,0.125,0.056764128037564886,0.2020605707401694,0.056764128037564913,0.9999999999999996
1024,0.25,0.1,0.225,0.03125,0.03125,0.16363636363636364,True,0.9995115994824673,0.0078125,8.0,0.0625,0.125,0.05686493335706602,0.20228027940087667,0.05686493335706602,1.0
