boundary,T,eta,rho,radius_r,rho_threshold,theorem_lower_conditions_hold,min_suffix_population_risk,max_suffix_population_risk
r_equals_rho,64,0.25,0.1,0.1,0.04000000000000001,False,0.0,0.0
rho_threshold_violated,64,0.25,0.4,0.5,0.2,False,0.0,0.0
