regime,dataset_seed,sampling_attempts,n,T,dimension,bad_coordinate,eta,beta,radius_r,eta_r_sqrtT,theorem_radius_condition,initial_gradient_norm,min_nonzero_gradient_norm,first_update_gate,chain_gate,unit_ball_gate,max_iterate_norm,wstar_empirical_risk,max_suffix_empirical_risk,sam_empirical_upper_envelope,min_suffix_population_lower_certificate,max_suffix_population_lower_certificate,min_certificate_to_lower_scale,lower_scale_eta2_r2_T
fixed_r,0,3,6,16,1025,21,0.041666666666666664,6.0,0.5,0.08333333333333333,True,7.688177619382958e-17,7.688177619382958e-17,True,True,True,0.07588668706576181,0.0,0.0,6.000000000000005,0.0004078825504720579,0.0014396482789842263,0.05873508726797634,0.006944444444444444
fixed_r,1,3,6,16,1025,15,0.041666666666666664,6.0,0.5,0.08333333333333333,True,8.025447181417799e-17,8.025447181417799e-17,True,True,True,0.0758866868021908,0.0,0.0,6.000000000000005,0.00040788254102954986,0.001439648268761266,0.058735085908255186,0.006944444444444444
fixed_r,2,4,6,16,1025,2,0.041666666666666664,6.0,0.5,0.08333333333333333,True,8.234919439346475e-17,8.234919439346475e-17,True,True,True,0.07588668664935987,0.0,0.0,6.000000000000005,0.0004078825355543131,0.0014396482628334767,0.05873508511982109,0.006944444444444444
fixed_r,3,1,6,16,1025,6,0.041666666666666664,6.0,0.5,0.08333333333333333,True,7.724984649796754e-17,7.724984649796754e-17,True,True,True,0.07588668703587949,0.0,0.0,6.000000000000005,0.000407882549401497,0.001439648277825181,0.058735087113815566,0.006944444444444444
fixed_r,4,2,6,16,1025,2,0.041666666666666664,6.0,0.5,0.08333333333333333,True,8.142501117428043e-17,8.142501117428043e-17,True,True,True,0.07588668671581869,0.0,0.0,6.000000000000005,0.0004078825379352414,0.0014396482654112001,0.058735085462674766,0.006944444444444444
fixed_r,5,4,6,16,1025,28,0.041666666666666664,6.0,0.5,0.08333333333333333,True,8.007893943592927e-17,8.007893943592927e-17,True,True,True,0.0758866868153616,0.0,0.0,6.000000000000005,0.0004078825415013672,0.001439648269272081,0.05873508597619688,0.006944444444444444
fixed_r,6,1,6,16,1025,11,0.041666666666666664,6.0,0.5,0.08333333333333333,True,8.060714310415757e-17,8.060714310415757e-17,True,True,True,0.07588668677590382,0.0,0.0,6.000000000000005,0.00040788254008780844,0.001439648267741686,0.05873508577264442,0.006944444444444444
fixed_r,7,3,6,16,1025,53,0.041666666666666664,6.0,0.5,0.08333333333333333,True,8.337881925428973e-17,8.337881925428973e-17,True,True,True,0.07588668657705307,0.0,0.0,6.000000000000005,0.00040788253296389387,0.001439648260028946,0.05873508474680072,0.006944444444444444
fixed_r,8,1,6,16,1025,14,0.041666666666666664,6.0,0.5,0.08333333333333333,True,7.7678962262955e-17,7.7678962262955e-17,True,True,True,0.07588668700139718,0.0,0.0,6.000000000000005,0.0004078825481661884,0.0014396482764877712,0.05873508693593114,0.006944444444444444
fixed_r,9,1,6,16,1025,32,0.041666666666666664,6.0,0.5,0.08333333333333333,True,8.343527865262517e-17,8.343527865262517e-17,True,True,True,0.07588668657313967,0.0,0.0,6.000000000000005,0.0004078825328236973,0.0014396482598771614,0.058735084726612416,0.006944444444444444
fixed_r,0,3,6,32,2049,21,0.041666666666666664,6.0,0.5,0.11785113019775792,True,3.402518250547476e-18,3.402518250547476e-18,True,True,True,0.11097331986147578,0.0,0.0,6.0,0.0009478314311215187,0.003078720387961985,0.06824386304074935,0.013888888888888888
fixed_r,1,3,6,32,2049,15,0.041666666666666664,6.0,0.5,0.11785113019775792,True,3.551731716935139e-18,3.551731716935139e-18,True,True,True,0.11097331977139192,0.0,0.0,6.0,0.0009478314261736705,0.0030787203828526945,0.06824386268450428,0.013888888888888888
fixed_r,2,4,6,32,2049,2,0.041666666666666664,6.0,0.5,0.11785113019775792,True,3.644418332047625e-18,3.644418332047625e-18,True,True,True,0.11097331971914881,0.0,0.0,6.0,0.00094783142330422,0.003078720379889616,0.06824386247790384,0.013888888888888888
fixed_r,3,1,6,32,2049,6,0.041666666666666664,6.0,0.5,0.11785113019775792,True,3.4188095456180973e-18,3.4188095456180973e-18,True,True,True,0.11097331985125797,0.0,0.0,6.0,0.0009478314305603045,0.003078720387382459,0.06824386300034194,0.013888888888888888
fixed_r,4,2,6,32,2049,2,0.041666666666666664,6.0,0.5,0.11785113019775792,True,3.603521963265527e-18,3.603521963265527e-18,True,True,True,0.11097331974186889,0.0,0.0,6.0,0.0009478314245521194,0.0030787203811782336,0.0682438625677526,0.013888888888888888
fixed_r,5,4,6,32,2049,28,0.041666666666666664,6.0,0.5,0.11785113019775792,True,3.543931611023252e-18,3.543931611023252e-18,True,True,True,0.11097331977591318,0.0,0.0,6.0,0.000947831426421998,0.003078720383109125,0.06824386270238386,0.013888888888888888
