n,dimension,dataset_seed,sampling_attempts,unseen_coordinate,unseen_coordinate_count,rho,radius_r,regime,flat_empirical_risk,flat_saer_exact,global_saer_lower_exact,flat_population_risk_exact,flat_population_risk_mc_8192,flat_population_mc_se,sharp_population_risk_exact,population_gap_exact,flat_is_saer_minimizer,flat_is_r_flat_when_r_le_rho
6,65,1,2,24,4,0.25,0.45,outside_flat_basin,0.0,0.020000000000000004,0.020000000000000004,0.140625,0.14083099365234375,0.0015537945955541822,0.0,0.140625,True,False
6,65,1,2,24,4,0.5,0.25,inside_flat_basin,0.0,0.0,0.0,0.0625,0.062591552734375,0.0006905753758018587,0.0,0.0625,True,True
6,65,1,2,24,4,0.5,0.5,at_flat_radius,0.0,0.0,0.0,0.0625,0.062591552734375,0.0006905753758018587,0.0,0.0625,True,True
6,65,1,2,24,4,0.5,0.7,outside_flat_basin,0.0,0.01999999999999999,0.01999999999999999,0.0625,0.062591552734375,0.0006905753758018587,0.0,0.0625,True,False
6,65,2,3,8,2,0.0,0.0,inside_flat_basin,0.0,0.0,0.0,0.25,0.25018310546875,0.0027623037259323084,0.0,0.25,True,True
6,65,2,3,8,2,0.0,0.0,at_flat_radius,0.0,0.0,0.0,0.25,0.25018310546875,0.0027623037259323084,0.0,0.25,True,True
6,65,2,3,8,2,0.0,0.2,outside_flat_basin,0.0,0.020000000000000004,0.020000000000000004,0.25,0.25018310546875,0.0027623037259323084,0.0,0.25,True,False
6,65,2,3,8,2,0.1,0.05,inside_flat_basin,0.0,0.0,0.0,0.2025,0.20264831542968756,0.0022374660180051703,0.0,0.2025,True,True
6,65,2,3,8,2,0.1,0.1,at_flat_radius,0.0,0.0,0.0,0.2025,0.20264831542968756,0.0022374660180051703,0.0,0.2025,True,True
6,65,2,3,8,2,0.1,0.30000000000000004,outside_flat_basin,0.0,0.020000000000000007,0.020000000000000007,0.2025,0.20264831542968756,0.0022374660180051703,0.0,0.2025,True,False
6,65,2,3,8,2,0.25,0.125,inside_flat_basin,0.0,0.0,0.0,0.140625,0.14072799682617188,0.0015537958458369235,0.0,0.140625,True,True
6,65,2,3,8,2,0.25,0.25,at_flat_radius,0.0,0.0,0.0,0.140625,0.14072799682617188,0.0015537958458369235,0.0,0.140625,True,True
6,65,2,3,8,2,0.25,0.45,outside_flat_basin,0.0,0.020000000000000004,0.020000000000000004,0.140625,0.14072799682617188,0.0015537958458369235,0.0,0.140625,True,False
6,65,2,3,8,2,0.5,0.25,inside_flat_basin,0.0,0.0,0.0,0.0625,0.0625457763671875,0.0006905759314830771,0.0,0.0625,True,True
6,65,2,3,8,2,0.5,0.5,at_flat_radius,0.0,0.0,0.0,0.0625,0.0625457763671875,0.0006905759314830771,0.0,0.0625,True,True
6,65,2,3,8,2,0.5,0.7,outside_flat_basin,0.0,0.01999999999999999,0.01999999999999999,0.0625,0.0625457763671875,0.0006905759314830771,0.0,0.0625,True,False
6,65,3,3,34,2,0.0,0.0,inside_flat_basin,0.0,0.0,0.0,0.25,0.2469482421875,0.002762098651452061,0.0,0.25,True,True
6,65,3,3,34,2,0.0,0.0,at_flat_radius,0.0,0.0,0.0,0.25,0.2469482421875,0.002762098651452061,0.0,0.25,True,True
6,65,3,3,34,2,0.0,0.2,outside_flat_basin,0.0,0.020000000000000004,0.020000000000000004,0.25,0.2469482421875,0.002762098651452061,0.0,0.25,True,False
6,65,3,3,34,2,0.1,0.05,inside_flat_basin,0.0,0.0,0.0,0.2025,0.20002807617187507,0.00223729990767617,0.0,0.2025,True,True
6,65,3,3,34,2,0.1,0.1,at_flat_radius,0.0,0.0,0.0,0.2025,0.20002807617187507,0.00223729990767617,0.0,0.2025,True,True
6,65,3,3,34,2,0.1,0.30000000000000004,outside_flat_basin,0.0,0.020000000000000007,0.020000000000000007,0.2025,0.20002807617187507,0.00223729990767617,0.0,0.2025,True,False
6,65,3,3,34,2,0.25,0.125,inside_flat_basin,0.0,0.0,0.0,0.140625,0.13890838623046875,0.0015536804914417842,0.0,0.140625,True,True
6,65,3,3,34,2,0.25,0.25,at_flat_radius,0.0,0.0,0.0,0.140625,0.13890838623046875,0.0015536804914417842,0.0,0.140625,True,True
6,65,3,3,34,2,0.25,0.45,outside_flat_basin,0.0,0.020000000000000004,0.020000000000000004,0.140625,0.13890838623046875,0.0015536804914417842,0.0,0.140625,True,False
6,65,3,3,34,2,0.5,0.25,inside_flat_basin,0.0,0.0,0.0,0.0625,0.061737060546875,0.0006905246628630152,0.0,0.0625,True,True
6,65,3,3,34,2,0.5,0.5,at_flat_radius,0.0,0.0,0.0,0.0625,0.061737060546875,0.0006905246628630152,0.0,0.0625,True,True
6,65,3,3,34,2,0.5,0.7,outside_flat_basin,0.0,0.01999999999999999,0.01999999999999999,0.0625,0.061737060546875,0.0006905246628630152,0.0,0.0625,True,False
6,65,4,1,6,2,0.0,0.0,inside_flat_basin,0.0,0.0,0.0,0.25,0.24603271484375,0.002761956629892039,0.0,0.25,True,True
6,65,4,1,6,2,0.0,0.0,at_flat_radius,0.0,0.0,0.0,0.25,0.24603271484375,0.002761956629892039,0.0,0.25,True,True
6,65,4,1,6,2,0.0,0.2,outside_flat_basin,0.0,0.020000000000000004,0.020000000000000004,0.25,0.24603271484375,0.002761956629892039,0.0,0.25,True,False
6,65,4,1,6,2,0.1,0.05,inside_flat_basin,0.0,0.0,0.0,0.2025,0.1992864990234376,0.0022371848702125515,0.0,0.2025,True,True
6,65,4,1,6,2,0.1,0.1,at_flat_radius,0.0,0.0,0.0,0.2025,0.1992864990234376,0.0022371848702125515,0.0,0.2025,True,True
6,65,4,1,6,2,0.1,0.30000000000000004,outside_flat_basin,0.0,0.020000000000000007,0.020000000000000007,0.2025,0.1992864990234376,0.0022371848702125515,0.0,0.2025,True,False
6,65,4,1,6,2,0.25,0.125,inside_flat_basin,0.0,0.0,0.0,0.140625,0.13839340209960938,0.0015536006043142718,0.0,0.140625,True,True
6,65,4,1,6,2,0.25,0.25,at_flat_radius,0.0,0.0,0.0,0.140625,0.13839340209960938,0.0015536006043142718,0.0,0.140625,True,True
6,65,4,1,6,2,0.25,0.45,outside_flat_basin,0.0,0.020000000000000004,0.020000000000000004,0.140625,0.13839340209960938,0.0015536006043142718,0.0,0.140625,True,False
6,65,4,1,6,2,0.5,0.25,inside_flat_basin,0.0,0.0,0.0,0.0625,0.0615081787109375,0.0006904891574730098,0.0,0.0625,True,True
6,65,4,1,6,2,0.5,0.5,at_flat_radius,0.0,0.0,0.0,0.0625,0.0615081787109375,0.0006904891574730098,0.0,0.0625,True,True
6,65,4,1,6,2,0.5,0.7,outside_flat_basin,0.0,0.01999999999999999,0.01999999999999999,0.0625,0.0615081787109375,0.0006904891574730098,0.0,0.0625,True,False
6,65,5,1,4,1,0.0,0.0,inside_flat_basin,0.0,0.0,0.0,0.25,0.2528076171875,0.002762130265692572,0.0,0.25,True,True
6,65,5,1,4,1,0.0,0.0,at_flat_radius,0.0,0.0,0.0,0.25,0.2528076171875,0.002762130265692572,0.0,0.25,True,True
6,65,5,1,4,1,0.0,0.2,outside_flat_basin,0.0,0.020000000000000004,0.020000000000000004,0.25,0.2528076171875,0.002762130265692572,0.0,0.25,True,False
6,65,5,1,4,1,0.1,0.05,inside_flat_basin,0.0,0.0,0.0,0.2025,0.20477416992187508,0.0022373255152109838,0.0,0.2025,True,True
6,65,5,1,4,1,0.1,0.1,at_flat_radius,0.0,0.0,0.0,0.2025,0.20477416992187508,0.0022373255152109838,0.0,0.2025,True,True
6,65,5,1,4,1,0.1,0.30000000000000004,outside_flat_basin,0.0,0.020000000000000007,0.020000000000000007,0.2025,0.20477416992187508,0.0022373255152109838,0.0,0.2025,True,False
6,65,5,1,4,1,0.25,0.125,inside_flat_basin,0.0,0.0,0.0,0.140625,0.14220428466796875,0.0015536982744520718,0.0,0.140625,True,True
6,65,5,1,4,1,0.25,0.25,at_flat_radius,0.0,0.0,0.0,0.140625,0.14220428466796875,0.0015536982744520718,0.0,0.140625,True,True
6,65,5,1,4,1,0.25,0.45,outside_flat_basin,0.0,0.020000000000000004,0.020000000000000004,0.140625,0.14220428466796875,0.0015536982744520718,0.0,0.140625,True,False
6,65,5,1,4,1,0.5,0.25,inside_flat_basin,0.0,0.0,0.0,0.0625,0.063201904296875,0.000690532566423143,0.0,0.0625,True,True
6,65,5,1,4,1,0.5,0.5,at_flat_radius,0.0,0.0,0.0,0.0625,0.063201904296875,0.000690532566423143,0.0,0.0625,True,True
6,65,5,1,4,1,0.5,0.7,outside_flat_basin,0.0,0.01999999999999999,0.01999999999999999,0.0625,0.063201904296875,0.000690532566423143,0.0,0.0625,True,False
6,65,6,1,32,1,0.0,0.0,inside_flat_basin,0.0,0.0,0.0,0.25,0.25433349609375,0.0027618894449748773,0.0,0.25,True,True
6,65,6,1,32,1,0.0,0.0,at_flat_radius,0.0,0.0,0.0,0.25,0.25433349609375,0.0027618894449748773,0.0,0.25,True,True
6,65,6,1,32,1,0.0,0.2,outside_flat_basin,0.0,0.020000000000000004,0.020000000000000004,0.25,0.25433349609375,0.0027618894449748773,0.0,0.25,True,False
6,65,6,1,32,1,0.1,0.05,inside_flat_basin,0.0,0.0,0.0,0.2025,0.20601013183593758,0.0022371304504296505,0.0,0.2025,True,True
6,65,6,1,32,1,0.1,0.1,at_flat_radius,0.0,0.0,0.0,0.2025,0.20601013183593758,0.0022371304504296505,0.0,0.2025,True,True
6,65,6,1,32,1,0.1,0.30000000000000004,outside_flat_basin,0.0,0.020000000000000007,0.020000000000000007,0.2025,0.20601013183593758,0.0022371304504296505,0.0,0.2025,True,False
6,65,6,1,32,1,0.25,0.125,inside_flat_basin,0.0,0.0,0.0,0.140625,0.14306259155273438,0.0015535628127983684,0.0,0.140625,True,True
6,65,6,1,32,1,0.25,0.25,at_flat_radius,0.0,0.0,0.0,0.140625,0.14306259155273438,0.0015535628127983684,0.0,0.140625,True,True
6,65,6,1,32,1,0.25,0.45,outside_flat_basin,0.0,0.020000000000000004,0.020000000000000004,0.140625,0.14306259155273438,0.0015535628127983684,0.0,0.140625,True,False
6,65,6,1,32,1,0.5,0.25,inside_flat_basin,0.0,0.0,0.0,0.0625,0.0635833740234375,0.0006904723612437193,0.0,0.0625,True,True
