regime,n,T,dimension,eta,beta,radius_r,eta_r_sqrtT,lambda,gamma,delta1,delta_j_2_to_T,lower_scale_eta2_r2_T,stability_perturbation_eta_beta2_r2_T,upper_to_lower_scale_ratio
fixed_r,6,16,1025,0.041666666666666664,6.0,0.5,0.08333333333333333,1.1909298780487805e-07,2.3818597557283885e-07,7.749666633350705e-11,0.03,0.006944444444444444,6.0,864.0
fixed_r,6,32,2049,0.041666666666666664,6.0,0.5,0.11785113019775792,2.978777757442655e-08,5.957555514721959e-08,1.3709634787586161e-11,0.03,0.013888888888888888,12.0,864.0
fixed_r,6,64,4097,0.041666666666666664,6.0,0.5,0.16666666666666666,7.448762051501098e-09,1.4897524102929962e-08,2.4244312972814696e-12,0.03,0.027777777777777776,24.0,864.0
fixed_r,6,128,8193,0.041666666666666664,6.0,0.5,0.23570226039551584,1.8624178033077017e-09,3.72483560661221e-09,4.286614214054644e-13,0.03,0.05555555555555555,48.0,864.0
saturated_eta_r_sqrtT,6,16,1025,0.041666666666666664,6.0,3.0,0.5,7.145579268292683e-07,2.3818597557283885e-07,4.649799980010423e-10,0.03,0.25,216.0,864.0
saturated_eta_r_sqrtT,6,32,2049,0.041666666666666664,6.0,2.1213203435596424,0.5,1.2637883711612148e-07,5.9575555147219584e-08,5.8165054355358994e-11,0.03,0.24999999999999994,215.99999999999994,864.0
saturated_eta_r_sqrtT,6,64,4097,0.041666666666666664,6.0,1.5,0.5,2.2346286154503295e-08,1.489752410292996e-08,7.273293891844408e-12,0.03,0.25,216.0,864.0
saturated_eta_r_sqrtT,6,128,8193,0.041666666666666664,6.0,1.0606601717798212,0.5,3.950784774364288e-09,3.72483560661221e-09,9.093281937266045e-13,0.03,0.24999999999999994,215.99999999999994,864.0
